interest_id,interest_name,interest_group
1,"Lập trình","Công nghệ - Kỹ thuật"
2,"Máy tính","Công nghệ - Kỹ thuật"
3,"Công nghệ","Công nghệ - Kỹ thuật"
4,"Trò chơi điện tử","Giải trí"
5,"Phân tích dữ liệu","Khoa học - Nghiên cứu"
6,"Bảo mật thông tin","Công nghệ - Kỹ thuật"
7,"Toán học","Khoa học - Nghiên cứu"
8,"Tự động hóa","Công nghệ - Kỹ thuật"
9,"Thống kê","Khoa học - Nghiên cứu"
10,"Nghiên cứu","Khoa học - Nghiên cứu"
11,"Kinh doanh","Kinh tế - Quản lý"
12,"Lãnh đạo","Kinh tế - Quản lý"
13,"Quản lý","Kinh tế - Quản lý"
14,"Giao tiếp","Xã hội - Ngôn ngữ"
15,"Sáng tạo","Nghệ thuật - Thiết kế"
16,"Truyền thông","Xã hội - Ngôn ngữ"
17,"Quảng cáo","Nghệ thuật - Thiết kế"
18,"Tài chính","Kinh tế - Quản lý"
19,"Y học","Y tế - Sức khỏe"
20,"Khoa học","Khoa học - Nghiên cứu"
21,"Chăm sóc sức khỏe","Y tế - Sức khỏe"
22,"Hóa học","Khoa học - Nghiên cứu"
23,"Giúp đỡ người khác","Xã hội - Ngôn ngữ"
24,"Kỹ thuật","Công nghệ - Kỹ thuật"
25,"Thiết kế","Nghệ thuật - Thiết kế"
26,"Điện tử","Công nghệ - Kỹ thuật"
27,"Cơ khí","Công nghệ - Kỹ thuật"
28,"Nghệ thuật","Nghệ thuật - Thiết kế"
29,"Xây dựng","Kiến trúc - Xây dựng"
30,"Ngoại ngữ","Xã hội - Ngôn ngữ"
31,"Văn hóa","Xã hội - Ngôn ngữ"
32,"Du lịch","Dịch vụ - Du lịch"
33,"Đọc sách","Giải trí"
34,"Dạy học","Giáo dục"
35,"Giáo dục","Giáo dục"
36,"Văn học","Xã hội - Ngôn ngữ"
37,"Luật pháp","Luật - Chính trị"
38,"Chính trị","Luật - Chính trị"
39,"Môi trường","Tài nguyên - Môi trường"
40,"Dịch vụ khách hàng","Dịch vụ - Du lịch"
41,"Thiên nhiên","Tài nguyên - Môi trường"
42,"Nông nghiệp","Tài nguyên - Môi trường"
43,"Động vật","Khoa học - Nghiên cứu"
44,"Ẩm thực","Dịch vụ - Du lịch"
45,"Thể thao","Giải trí" 