subject_code,subject_name,description
"TOA","Toán học","Toán là môn học cơ bản và quan trọng, thường được các ngành kỹ thuật, kinh tế, CNTT và khoa học tự nhiên đánh giá cao"
"LY","Vật lý","Vật lý quan trọng đối với các ngành kỹ thuật, điện tử, xây dựng, CNTT và khoa học tự nhiên"
"HOA","Hóa học","Hóa học cần thiết cho ngành y dược, sinh học, khoa học thực phẩm, và kỹ thuật hóa"
"SINH","Sinh học","Sinh học là nền tảng cho y khoa, dược, thú y, nông nghiệp, và công nghệ sinh học"
"VAN","Ngữ văn","Ngữ văn phù hợp với các ngành xã hội, báo chí, luật, giáo dục và ngôn ngữ"
"SU","Lịch sử","Lịch sử quan trọng đối với ngành luật, báo chí, sư phạm và xã hội học"
"DIA","Địa lý","Địa lý phù hợp với ngành du lịch, quản lý tài nguyên môi trường, và khoa học xã hội"
"ANH","Tiếng Anh","Tiếng Anh là yếu tố quan trọng cho hầu hết các ngành, đặc biệt là ngôn ngữ, du lịch, kinh tế quốc tế"
"GDCD","GDKT & PL","Môn Giáo dục kinh tế và pháp luật, đánh giá hiểu biết về các vấn đề kinh tế, pháp luật, đạo đức xã hội"
"TIN","Tin học","Tin học đặc biệt quan trọng đối với các ngành CNTT, kỹ thuật, và phân tích dữ liệu"
"CN","Công nghệ","Môn Công nghệ, đánh giá kiến thức về quy trình sản xuất, thiết kế, ứng dụng công nghệ vào thực tiễn"
"NANG","Năng khiếu","Năng khiếu quan trọng đối với các ngành nghệ thuật, thiết kế và thể thao"
"VETK","Vẽ mỹ thuật","Vẽ mỹ thuật cần thiết cho các ngành kiến trúc, thiết kế đồ họa và mỹ thuật" 