Ngành,market_trend,interests
thú y,20,"Động vật,Y học,Chăm sóc sức khỏe,Khoa học,Nghiên cứu"
báo chí,5,"Truyền thông,Giao tiếp,Văn học,Đọc sách,Sáng tạo"
quan hệ công chúng,15,"Truyền thông,Giao tiếp,Quảng cáo,Sáng tạo,Kinh doanh"
digital marketing,25,"Truyền thông,Quảng cáo,Công nghệ,Sáng tạo,Phân tích dữ liệu"
marketing,20,"Sáng tạo,Truyền thông,Kinh doanh,Quảng cáo,Giao tiếp"
công nghệ vật liệu,15,"Nghiên cứu,Kỹ thuật,Khoa học,Công nghệ,Thiết kế"
công nghệ thực phẩm,20,"Ẩm thực,Hóa học,Nghiên cứu,Khoa học,Sáng tạo"
công nghệ sinh học,20,"Sinh học,Nghiên cứu,Khoa học,Môi trường,Hóa học"
hóa học,10,"Hóa học,Khoa học,Nghiên cứu,Phân tích dữ liệu,Môi trường"
khoa học máy tính,25,"Toán học,Lập trình,Máy tính,Công nghệ,Nghiên cứu"
khoa học dữ liệu và trí tuệ nhân tạo,30,"Phân tích dữ liệu,Toán học,Thống kê,Công nghệ,Nghiên cứu"
khoa học dữ liệu,25,"Phân tích dữ liệu,Thống kê,Máy học,Nghiên cứu,Toán học"
an toàn thông tin,25,"Bảo mật thông tin,Máy tính,Công nghệ,Phân tích dữ liệu,Nghiên cứu"
công nghệ thông tin,25,"Lập trình,Máy tính,Công nghệ,Trò chơi điện tử,Phân tích dữ liệu"
trí tuệ nhân tạo,25,"Lập trình,Phân tích dữ liệu,Công nghệ,Toán học,Tự động hóa"
mạng máy tính & truyền thông dữ liệu,25,"Máy tính,Công nghệ,Bảo mật thông tin,Phân tích dữ liệu,Kỹ thuật"
robot và trí tuệ nhân tạo,25,"Công nghệ,Tự động hóa,Lập trình,Kỹ thuật,Phân tích dữ liệu"
kỹ thuật phần mềm,25,"Lập trình,Máy tính,Công nghệ,Phân tích dữ liệu,Sáng tạo"
quản trị khách sạn,20,"Du lịch,Dịch vụ khách hàng,Quản lý,Giao tiếp,Ngoại ngữ"
quản trị dịch vụ du lịch và lữ hành,20,"Du lịch,Quản lý,Văn hóa,Dịch vụ khách hàng,Ngoại ngữ"
vật lý học,5,"Vật lý,Nghiên cứu,Khoa học,Toán học,Phân tích dữ liệu"
kinh tế học,15,"Kinh tế,Phân tích dữ liệu,Thống kê,Nghiên cứu,Chính trị"
quản trị kinh doanh,15,"Kinh doanh,Lãnh đạo,Quản lý,Giao tiếp,Phân tích dữ liệu"
kiểm toán,10,"Phân tích dữ liệu,Tài chính,Kinh tế,Thống kê,Nghiên cứu"
kế toán,10,"Tài chính,Thống kê,Quản lý,Kinh tế,Phân tích dữ liệu"
luật,10,"Luật pháp,Chính trị,Giao tiếp,Nghiên cứu,Phân tích dữ liệu"
luật kinh tế,10,"Luật pháp,Kinh tế,Phân tích dữ liệu,Kinh doanh,Nghiên cứu"
luật quốc tế,10,"Luật pháp,Ngoại ngữ,Giao tiếp,Chính trị,Nghiên cứu"
nghệ thuật,5,"Sáng tạo,Nghệ thuật,Thiết kế,Văn hóa,Truyền thông"
âm nhạc,5,"Nghệ thuật,Sáng tạo,Văn hóa,Thể thao,Giải trí"
quan hệ quốc tế,10,"Chính trị,Ngoại ngữ,Văn hóa,Giao tiếp,Nghiên cứu"
ngôn ngữ pháp,5,"Ngoại ngữ,Văn hóa,Giao tiếp,Du lịch,Văn học"
ngôn ngữ nhật,5,"Ngoại ngữ,Văn hóa,Giao tiếp,Du lịch,Đọc sách"
ngôn ngữ trung quốc,5,"Ngoại ngữ,Văn hóa,Giao tiếp,Du lịch,Nghiên cứu"
ngôn ngữ anh,10,"Ngoại ngữ,Giao tiếp,Văn hóa,Du lịch,Đọc sách"
ngôn ngữ hàn quốc,5,"Ngoại ngữ,Văn hóa,Giao tiếp,Du lịch,Truyền thông"
logistics và quản lý chuỗi cung ứng,25,"Quản lý,Kinh doanh,Phân tích dữ liệu,Giao tiếp,Công nghệ"
quản trị kinh doanh quốc tế,15,"Kinh doanh,Ngoại ngữ,Quản lý,Giao tiếp,Văn hóa"
kinh doanh quốc tế,15,"Kinh doanh,Ngoại ngữ,Quản lý,Giao tiếp,Văn hóa"
quản trị nhân lực,15,"Quản lý,Giao tiếp,Kinh doanh,Phân tích dữ liệu,Giúp đỡ người khác"
sư phạm vật lý,5,"Vật lý,Dạy học,Giáo dục,Khoa học,Nghiên cứu"
sư phạm toán,5,"Toán học,Dạy học,Giáo dục,Giao tiếp,Nghiên cứu"
sư phạm tiếng anh,10,"Ngoại ngữ,Dạy học,Giao tiếp,Văn hóa,Giáo dục"
sư phạm ngữ văn,5,"Văn học,Dạy học,Ngoại ngữ,Giáo dục,Sáng tạo"
giáo dục tiểu học,5,"Dạy học,Giúp đỡ người khác,Sáng tạo,Giáo dục,Giao tiếp"
sư phạm hóa học,5,"Hóa học,Dạy học,Giáo dục,Khoa học,Nghiên cứu"
quản lý giáo dục,5,"Giáo dục,Quản lý,Lãnh đạo,Giao tiếp,Nghiên cứu"
thiết kế đồ họa,10,"Nghệ thuật,Thiết kế,Sáng tạo,Công nghệ,Máy tính"
thiết kế thời trang,5,"Thiết kế,Sáng tạo,Nghệ thuật,Thể thao,Văn hóa"
nông nghiệp,5,"Nông nghiệp,Thiên nhiên,Môi trường,Nghiên cứu,Khoa học"
nuôi trồng thủy sản,5,"Nông nghiệp,Thiên nhiên,Nghiên cứu,Môi trường,Khoa học"
công nghệ sau thu hoạch,5,"Nông nghiệp,Công nghệ,Ẩm thực,Nghiên cứu,Khoa học"
toán kinh tế,10,"Toán học,Kinh tế,Thống kê,Phân tích dữ liệu,Nghiên cứu"
thống kê,10,"Phân tích dữ liệu,Thống kê,Toán học,Nghiên cứu,Máy tính"
bảo hiểm,10,"Tài chính,Thống kê,Kinh doanh,Phân tích dữ liệu,Dịch vụ khách hàng"
tài chính - ngân hàng,15,"Tài chính,Toán học,Phân tích dữ liệu,Kinh doanh,Kinh tế"
quản lý tài nguyên và môi trường,20,"Môi trường,Thiên nhiên,Quản lý,Nghiên cứu,Khoa học"
kỹ thuật môi trường,20,"Môi trường,Kỹ thuật,Thiên nhiên,Nghiên cứu,Khoa học"
quản lý đất đai,10,"Thiên nhiên,Môi trường,Quản lý,Nghiên cứu,Xây dựng"
tâm lý học,20,"Giúp đỡ người khác,Phân tích dữ liệu,Nghiên cứu,Giao tiếp,Khoa học"
kiến trúc,15,"Thiết kế,Nghệ thuật,Xây dựng,Sáng tạo,Toán học"
kỹ thuật xây dựng,20,"Xây dựng,Thiết kế,Kỹ thuật,Công nghệ,Toán học"
thiết kế nội thất,10,"Thiết kế,Nghệ thuật,Sáng tạo,Xây dựng,Mỹ thuật"
nhân học,5,"Văn hóa,Nghiên cứu,Xã hội,Giúp đỡ người khác,Giao tiếp"
xã hội học,5,"Nghiên cứu,Giúp đỡ người khác,Phân tích dữ liệu,Thống kê,Giao tiếp"
răng - hàm - mặt,20,"Y học,Chăm sóc sức khỏe,Thiết kế,Nghiên cứu,Sáng tạo"
dược học,20,"Hóa học,Y học,Nghiên cứu,Chăm sóc sức khỏe,Khoa học"
quản lý bệnh viện,20,"Y học,Quản lý,Chăm sóc sức khỏe,Lãnh đạo,Giao tiếp"
y khoa,20,"Y học,Khoa học,Chăm sóc sức khỏe,Giúp đỡ người khác,Nghiên cứu"
điều dưỡng,20,"Chăm sóc sức khỏe,Y học,Giúp đỡ người khác,Giao tiếp,Y tế"
công nghệ kỹ thuật ô tô,15,"Cơ khí,Kỹ thuật,Công nghệ,Thiết kế,Tự động hóa"
kỹ thuật điện - điện tử,20,"Kỹ thuật,Thiết kế,Điện tử,Công nghệ,Toán học"
tự động hóa,25,"Cơ khí,Điện tử,Lập trình,Công nghệ,Tự động hóa"
